"Date","Price","Open","High","Low","Change %"
"Oct 15","8.4840","8.5112","8.5995","8.0349","-0.38%"
"Sep 15","8.5160","8.2773","8.6029","8.0424","2.84%"
"Aug 15","8.2805","8.1646","8.4045","8.0714","1.31%"
"Jul 15","8.1737","7.8466","8.2694","7.8198","4.20%"
"Jun 15","7.8444","7.7660","8.0047","7.5979","0.95%"
"May 15","7.7704","7.5325","7.8817","7.2842","3.16%"
"Apr 15","7.5327","8.0553","8.1584","7.4409","-6.54%"
"Mar 15","8.0602","7.6643","8.4181","7.6499","5.15%"
"Feb 15","7.6653","7.7227","7.7456","7.4635","-0.80%"
"Jan 15","7.7274","7.4755","7.8635","7.4503","3.39%"
"Dec 14","7.4740","7.0286","7.8578","6.9155","6.30%"
"Nov 14","7.0312","6.7594","7.0420","6.7170","4.11%"
"Oct 14","6.7538","6.4250","6.8019","6.4062","5.10%"
"Sep 14","6.4262","6.1962","6.4707","6.1783","3.72%"
"Aug 14","6.1955","6.2846","6.3085","6.1285","-1.44%"
"Jul 14","6.2860","6.1350","6.2993","6.1276","2.49%"
"Jun 14","6.1331","5.9700","6.1705","5.9358","2.69%"
"May 14","5.9724","5.9512","5.9917","5.8497","0.39%"
"Apr 14","5.9493","5.9882","6.0262","5.9091","-0.66%"
"Mar 14","5.9887","6.0077","6.0873","5.9103","-0.25%"
"Feb 14","6.0036","6.2744","6.3145","5.9805","-4.40%"
"Jan 14","6.2802","6.0695","6.3058","6.0650","3.49%"
"Dec 13","6.0683","6.1277","6.2175","6.0602","-0.99%"
"Nov 13","6.1292","5.9446","6.2253","5.9335","3.15%"
"Oct 13","5.9421","6.0132","6.0725","5.8628","-1.19%"
"Sep 13","6.0138","6.1090","6.1435","5.7551","-1.64%"
"Aug 13","6.1138","5.8918","6.1332","5.8379","3.76%"
"Jul 13","5.8921","6.0710","6.2669","5.8668","-2.91%"
"Jun 13","6.0690","5.8704","6.1744","5.7055","3.40%"
"May 13","5.8693","5.7690","5.9064","5.7200","1.71%"
"Apr 13","5.7706","5.8472","5.9375","5.6910","-1.32%"
"Mar 13","5.8476","5.7400","5.8838","5.6607","1.91%"
"Feb 13","5.7381","5.4669","5.7433","5.4295","4.96%"
"Jan 13","5.4667","5.5633","5.6240","5.4585","-1.79%"
"Dec 12","5.5665","5.6668","5.6956","5.5288","-1.80%"
"Nov 12","5.6686","5.7044","5.8101","5.6329","-0.59%"
"Oct 12","5.7024","5.7148","5.8014","5.6044","-0.32%"
"Sep 12","5.7205","5.7866","5.8617","5.6400","-1.34%"
"Aug 12","5.7981","6.0266","6.0732","5.7630","-3.90%"
"Jul 12","6.0337","5.9545","6.1511","5.9491","1.27%"
"Jun 12","5.9581","6.1232","6.1757","5.8822","-2.65%"
"May 12","6.1205","5.7223","6.1265","5.7034","6.94%"
"Apr 12","5.7235","5.6742","5.8383","5.6525","0.54%"
"Mar 12","5.6930","5.5917","5.8401","5.5598","1.86%"
"Feb 12","5.5888","5.8628","5.8934","5.5277","-4.75%"
"Jan 12","5.8673","5.9798","6.0956","5.7822","-2.08%"
"Dec 11","5.9920","5.7859","6.0558","5.7260","3.79%"
"Nov 11","5.7733","5.5535","5.9388","5.5454","3.96%"
"Oct 11","5.5534","5.8940","5.9755","5.3773","-5.32%"
"Sep 11","5.8656","5.3611","5.9149","5.3131","9.38%"
"Aug 11","5.3625","5.3872","5.5829","5.3292","-0.21%"
"Jul 11","5.3739","5.3885","5.6342","5.3337","-0.25%"
"Jun 11","5.3871","5.3801","5.6004","5.3235","0.12%"
"May 11","5.3805","5.2399","5.6315","5.2155","2.48%"
"Apr 11","5.2503","5.5285","5.5665","5.2277","-5.15%"
"Mar 11","5.5355","5.5943","5.7255","5.5051","-1.14%"
"Feb 11","5.5991","5.7782","5.8872","5.5598","-3.08%"
"Jan 11","5.7770","5.8289","6.0037","5.7294","-0.81%"
"Dec 10","5.8243","6.2052","6.2155","5.8071","-6.23%"
"Nov 10","6.2111","5.8490","6.2400","5.7038","6.27%"
"Oct 10","5.8446","5.8777","5.9602","5.7094","-0.55%"
"Sep 10","5.8769","6.2945","6.3203","5.8251","-6.63%"
"Aug 10","6.2942","6.0686","6.3708","5.9164","3.61%"
"Jul 10","6.0749","6.5074","6.5595","6.0443","-6.50%"
"Jun 10","6.4970","6.4550","6.7299","6.2830","0.65%"
"May 10","6.4550","5.8884","6.6724","5.8780","9.30%"
"Apr 10","5.9060","5.9439","6.0085","5.8232","-0.56%"
"Mar 10","5.9395","5.9161","6.1022","5.7944","0.57%"
"Feb 10","5.9058","5.9241","6.0473","5.8065","-0.36%"
"Jan 10","5.9270","5.7728","5.9291","5.5882","2.27%"
"Dec 09","5.7956","5.6757","5.8994","5.5602","2.06%"
"Nov 09","5.6785","5.7355","5.8506","5.5378","-0.93%"
"Oct 09","5.7318","5.7698","5.8476","5.5109","-0.67%"
"Sep 09","5.7704","6.0076","6.1327","5.7435","-4.10%"
"Aug 09","6.0170","6.1095","6.2773","5.9469","-1.70%"
"Jul 09","6.1209","6.4291","6.6088","6.1077","-4.80%"
"Jun 09","6.4294","6.3055","6.6060","6.1165","2.22%"
"May 09","6.2899","6.5605","6.6163","6.2818","-4.12%"
"Apr 09","6.5600","6.7390","6.8472","6.4613","-2.55%"
"Mar 09","6.7319","7.0893","7.2839","6.2560","-4.27%"
"Feb 09","7.0320","6.9253","7.1068","6.6037","1.43%"
"Jan 09","6.9326","6.9645","7.3015","6.6474","-0.34%"
"Dec 08","6.9566","6.9843","7.3240","6.5488","-0.92%"
"Nov 08","7.0211","6.7090","7.2989","6.5706","4.52%"
"Oct 08","6.7175","5.8564","7.3141","5.8345","14.60%"
"Sep 08","5.8617","5.4095","5.9443","5.4012","8.03%"
"Aug 08","5.4258","5.1287","5.4406","5.1154","5.81%"
"Jul 08","5.1280","5.0877","5.1955","5.0089","0.78%"
"Jun 08","5.0885","5.0940","5.2606","5.0053","-0.32%"
"May 08","5.1047","5.0860","5.1715","4.9647","0.39%"
"Apr 08","5.0847","5.0973","5.2042","4.9428","-0.26%"
"Mar 08","5.0981","5.2089","5.3015","5.0336","-2.23%"
"Feb 08","5.2145","5.4096","5.5762","5.1619","-3.58%"
"Jan 08","5.4081","5.4386","5.6285","5.2454","-0.52%"
"Dec 07","5.4362","5.5378","5.6157","5.3854","-1.98%"
"Nov 07","5.5460","5.3692","5.5487","5.2410","3.29%"
"Oct 07","5.3694","5.3878","5.5065","5.3308","-0.38%"
"Sep 07","5.3900","5.8265","5.8536","5.3838","-7.58%"
"Aug 07","5.8318","5.8308","6.0390","5.7426","-0.02%"
"Jul 07","5.8330","5.8960","5.9054","5.7040","-0.96%"
"Jun 07","5.8895","6.0340","6.1205","5.8854","-2.37%"
"May 07","6.0322","5.9495","6.0825","5.9342","1.34%"
"Apr 07","5.9527","6.0715","6.1407","5.9340","-2.15%"
"Mar 07","6.0833","6.1330","6.2693","6.0605","-0.82%"
"Feb 07","6.1339","6.2428","6.3005","6.0832","-1.73%"
"Jan 07","6.2419","6.2294","6.4974","6.1606","0.08%"
"Dec 06","6.2366","6.1578","6.2912","6.0788","1.23%"
"Nov 06","6.1610","6.5373","6.5534","6.1494","-5.74%"
"Oct 06","6.5365","6.5198","6.7891","6.5098","-0.10%"
"Sep 06","6.5428","6.3242","6.6251","6.3070","3.48%"
"Aug 06","6.3230","6.1599","6.3617","6.0980","2.66%"
"Jul 06","6.1591","6.2217","6.3996","6.1501","-1.13%"
"Jun 06","6.2298","6.0848","6.3489","5.9815","2.40%"
"May 06","6.0836","6.1554","6.2180","5.9713","-0.92%"
"Apr 06","6.1400","6.5533","6.5992","6.1393","-6.31%"
"Mar 06","6.5538","6.7475","6.7527","6.5210","-2.88%"
"Feb 06","6.7478","6.6474","6.8646","6.6155","1.49%"
"Jan 06","6.6488","6.7376","6.7636","6.5037","-1.43%"
"Dec 05","6.7450","6.7386","6.8244","6.5875","0.08%"
"Nov 05","6.7395","6.5037","6.7817","6.4417","3.62%"
"Oct 05","6.5039","6.5467","6.6297","6.4110","-0.60%"
"Sep 05","6.5433","6.3783","6.5688","6.1737","2.66%"
"Aug 05","6.3738","6.4912","6.5890","6.3196","-1.78%"
"Jul 05","6.4895","6.5340","6.7056","6.4526","-0.63%"
"Jun 05","6.5308","6.4584","6.6233","6.3810","1.17%"
"May 05","6.4551","6.3222","6.4865","6.2484","2.27%"
"Apr 05","6.3118","6.3372","6.4513","6.2195","-0.41%"
"Mar 05","6.3375","6.2172","6.4032","6.0610","1.98%"
"Feb 05","6.2142","6.3660","6.6281","6.1897","-2.37%"
"Jan 05","6.3649","6.0730","6.3694","6.0590","4.69%"
"Dec 04","6.0795","6.1382","6.2759","6.0305","-0.86%"
"Nov 04","6.1325","6.3575","6.4605","6.0775","-3.75%"
"Oct 04","6.3715","6.7070","6.7763","6.3569","-5.05%"
"Sep 04","6.7107","6.8636","6.9653","6.7043","-2.23%"
"Aug 04","6.8635","7.0115","7.0355","6.6714","-2.22%"
"Jul 04","7.0191","6.9281","7.0615","6.7958","1.26%"
"Jun 04","6.9317","6.7336","6.9965","6.6185","2.93%"
