"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2014","7,180.32","7,301.39","7,324.64","7,148.02","9.49K","-1.60%"
"Jun 18, 2014","7,297.40","7,329.94","7,351.97","7,291.74","9.59K","-0.46%"
"Jun 17, 2014","7,331.37","7,400.08","7,400.08","7,320.72","8.14K","-1.15%"
"Jun 16, 2014","7,416.99","7,397.05","7,433.54","7,372.93","11.00K","0.21%"
"Jun 13, 2014","7,401.35","7,293.50","7,429.96","7,290.14","9.83K","1.39%"
"Jun 12, 2014","7,299.81","7,313.83","7,318.75","7,280.01","7.98K","-0.56%"
"Jun 11, 2014","7,340.69","7,323.04","7,354.49","7,307.36","7.80K","-0.01%"
"Jun 10, 2014","7,341.66","7,229.97","7,345.54","7,229.62","9.41K","1.58%"
"Jun 09, 2014","7,227.24","7,217.54","7,301.34","7,205.34","9.08K","-0.11%"
"Jun 06, 2014","7,235.39","7,272.23","7,283.65","7,195.13","6.75K","-0.93%"
"Jun 05, 2014","7,303.64","7,215.95","7,306.76","7,205.10","5.93K","1.11%"
"Jun 04, 2014","7,223.13","7,314.97","7,314.97","7,177.66","6.72K","-1.34%"
"Jun 03, 2014","7,321.52","7,365.61","7,399.46","7,319.77","7.04K","-0.59%"
"May 30, 2014","7,364.83","7,344.83","7,393.38","7,309.02","7.96K","0.32%"
"May 29, 2014","7,341.56","7,395.58","7,432.35","7,340.98","9.48K","-0.53%"
"May 28, 2014","7,380.69","7,263.31","7,381.47","7,246.09","10.59K","1.66%"
"May 27, 2014","7,260.12","7,265.24","7,305.96","7,253.90","5.76K","-0.21%"
"May 26, 2014","7,275.11","7,289.63","7,306.61","7,233.17","7.41K","0.47%"
"May 23, 2014","7,240.92","7,188.56","7,246.95","7,161.75","7.93K","0.80%"
"May 22, 2014","7,183.68","7,201.72","7,295.04","7,181.03","8.53K","-0.29%"
"May 21, 2014","7,204.65","7,121.36","7,205.23","7,075.32","6.50K","0.75%"
"May 20, 2014","7,151.18","7,180.32","7,220.33","7,130.06","6.44K","-0.00%"
"May 19, 2014","7,151.49","7,210.85","7,210.85","7,105.02","6.88K","-1.25%"
"May 16, 2014","7,242.17","7,203.82","7,261.35","7,187.80","8.01K","0.39%"
"May 15, 2014","7,213.77","7,309.88","7,309.88","7,205.70","7.69K","-1.53%"
"May 14, 2014","7,325.52","7,320.36","7,369.17","7,303.63","10.10K","0.21%"
"May 13, 2014","7,310.31","7,321.65","7,362.87","7,290.73","10.87K","-0.11%"
"May 12, 2014","7,318.14","7,208.04","7,334.47","7,175.22","14.04K","2.17%"
"May 09, 2014","7,162.44","7,175.24","7,182.42","7,093.22","8.53K","-0.11%"
"May 08, 2014","7,169.98","7,185.19","7,306.79","7,157.26","8.01K","-0.89%"
"May 07, 2014","7,234.69","7,292.01","7,292.01","7,232.48","8.29K","-1.06%"
"May 06, 2014","7,311.89","7,282.92","7,381.22","7,282.92","9.40K","0.03%"
"May 05, 2014","7,309.56","7,289.24","7,334.39","7,214.06","6.61K","-0.05%"
"Apr 30, 2014","7,312.86","7,320.79","7,335.47","7,279.34","6.16K","-0.37%"
"Apr 29, 2014","7,339.86","7,234.65","7,353.02","7,215.12","7.98K","1.37%"
"Apr 28, 2014","7,240.46","7,324.87","7,353.34","7,233.71","13.50K","-1.14%"
"Apr 25, 2014","7,323.65","7,423.90","7,459.01","7,323.65","11.28K","-1.29%"
"Apr 24, 2014","7,419.44","7,426.28","7,472.04","7,392.15","7.64K","-0.21%"
"Apr 23, 2014","7,434.73","7,388.26","7,470.15","7,379.89","7.58K","0.59%"
"Apr 22, 2014","7,391.22","7,355.63","7,392.88","7,276.72","8.96K","0.51%"
"Apr 21, 2014","7,353.60","7,412.34","7,493.41","7,351.19","8.92K","-1.37%"
"Apr 18, 2014","7,455.74","7,425.84","7,475.72","7,380.73","6.20K","0.06%"
"Apr 17, 2014","7,451.04","7,484.15","7,512.27","7,441.08","6.89K","-0.23%"
"Apr 16, 2014","7,468.46","7,430.61","7,511.00","7,430.23","7.39K","0.25%"
"Apr 15, 2014","7,449.70","7,568.17","7,568.17","7,438.96","12.04K","-1.76%"
"Apr 14, 2014","7,583.28","7,588.61","7,618.57","7,553.49","8.50K","-0.05%"
"Apr 11, 2014","7,586.82","7,543.71","7,611.15","7,528.66","12.78K","0.31%"
"Apr 10, 2014","7,563.20","7,534.02","7,607.48","7,467.19","15.61K","0.69%"
"Apr 09, 2014","7,511.25","7,510.31","7,556.04","7,479.62","9.52K","0.03%"
"Apr 08, 2014","7,508.66","7,334.18","7,526.47","7,323.41","13.01K","1.91%"
"Apr 04, 2014","7,367.80","7,281.34","7,367.80","7,260.13","8.05K","0.96%"
"Apr 03, 2014","7,298.00","7,355.21","7,396.85","7,280.44","9.93K","-0.49%"
"Apr 02, 2014","7,333.59","7,291.73","7,358.36","7,284.12","10.13K","0.72%"
"Apr 01, 2014","7,281.11","7,184.07","7,302.74","7,177.85","7.29K","1.27%"
"Mar 31, 2014","7,189.58","7,219.21","7,279.57","7,146.15","7.62K","0.34%"
"Mar 28, 2014","7,165.57","7,165.47","7,234.45","7,144.07","10.34K","-0.10%"
"Mar 27, 2014","7,173.02","7,230.63","7,276.87","7,154.65","10.18K","-0.98%"
"Mar 26, 2014","7,244.19","7,270.02","7,292.56","7,228.91","7.94K","-0.11%"
"Mar 25, 2014","7,252.35","7,247.11","7,318.75","7,220.72","12.89K","-0.29%"
"Mar 24, 2014","7,273.76","7,237.26","7,308.15","7,180.12","14.15K","0.44%"
"Mar 21, 2014","7,241.57","6,973.09","7,261.27","6,959.25","15.94K","3.48%"
"Mar 20, 2014","6,998.19","7,135.41","7,187.31","6,997.63","10.89K","-2.12%"
"Mar 19, 2014","7,150.12","7,246.06","7,246.06","7,098.70","11.88K","-1.70%"
"Mar 18, 2014","7,273.95","7,347.04","7,357.06","7,266.58","7.65K","-0.91%"
"Mar 17, 2014","7,340.62","7,266.95","7,342.34","7,257.02","8.57K","1.40%"
"Mar 14, 2014","7,239.06","7,287.34","7,317.45","7,205.18","10.86K","-1.10%"
"Mar 13, 2014","7,319.29","7,226.83","7,335.10","7,217.84","11.78K","1.42%"
"Mar 12, 2014","7,217.02","7,187.88","7,291.55","7,139.35","14.78K","0.06%"
"Mar 11, 2014","7,212.57","7,103.30","7,258.69","7,091.30","11.51K","1.32%"
"Mar 10, 2014","7,118.44","7,269.49","7,269.49","7,114.80","12.38K","-2.87%"
"Mar 07, 2014","7,328.48","7,338.75","7,382.14","7,306.05","10.48K","-0.32%"
"Mar 06, 2014","7,352.03","7,282.74","7,374.84","7,186.70","12.51K","0.74%"
"Mar 05, 2014","7,298.13","7,352.72","7,370.63","7,279.30","9.48K","-0.67%"
"Mar 04, 2014","7,347.11","7,390.67","7,390.67","7,272.64","13.01K","-0.61%"
"Mar 03, 2014","7,391.91","7,349.95","7,410.66","7,335.43","11.49K","0.35%"
"Feb 28, 2014","7,365.93","7,181.43","7,366.69","7,174.33","12.24K","2.46%"
"Feb 27, 2014","7,188.74","7,352.59","7,361.15","7,179.17","14.33K","-1.79%"
"Feb 26, 2014","7,319.61","7,271.19","7,349.17","7,226.18","18.85K","0.21%"
"Feb 25, 2014","7,303.94","7,551.00","7,559.80","7,272.34","20.91K","-3.16%"
"Feb 24, 2014","7,542.53","7,697.20","7,697.20","7,465.91","19.77K","-2.68%"
"Feb 21, 2014","7,750.56","7,825.54","7,859.20","7,718.53","13.28K","-1.17%"
"Feb 20, 2014","7,842.12","7,956.92","7,997.02","7,836.27","20.27K","-1.41%"
"Feb 19, 2014","7,953.94","7,837.41","7,967.07","7,816.06","19.14K","1.55%"
"Feb 18, 2014","7,832.47","7,947.42","7,947.42","7,808.15","13.99K","-1.40%"
"Feb 17, 2014","7,943.96","7,922.74","7,947.73","7,866.30","15.91K","0.76%"
"Feb 14, 2014","7,883.75","7,840.96","7,895.39","7,821.63","10.68K","0.34%"
"Feb 13, 2014","7,857.11","7,895.23","7,936.74","7,846.99","14.87K","-0.57%"
"Feb 12, 2014","7,902.08","7,835.06","7,904.83","7,809.94","12.52K","0.82%"
"Feb 11, 2014","7,838.12","7,814.20","7,877.09","7,781.25","16.92K","0.33%"
"Feb 10, 2014","7,812.16","7,655.57","7,827.39","7,651.49","15.84K","2.57%"
"Feb 07, 2014","7,616.57","7,515.09","7,616.57","7,479.56","11.56K","0.58%"
